"id";"patient_id";"contact_phone";"contact_email";"created_at";"updated_at";"relationship_id";"first_name";"last_name";"created_date";"contact_email_ok";"contact_phone_ok"
1;4;"93452341";"josephine.tan.family@gmail.com";"2013-07-04 15:19:34.146104";"2013-07-04 15:19:34.146104";7;"Josephine";"Tan";"2013-07-04 15:19:34.021101";f;f
2;4;"81283442";"chun.weilim.family@gmail.com";"2013-07-04 15:19:34.177355";"2013-07-04 15:19:34.177355";9;"Chun";"WeiLim";"2013-07-04 15:19:34.177355";f;f
3;6;"88127452";"allan.smith.family@gmail.com";"2013-07-04 15:19:45.458894";"2013-07-04 15:19:45.458894";5;"Allan";"Smith";"2013-07-04 15:19:45.458894";f;f
4;6;"91230021";"laura.chan.family@gmail.com";"2013-07-04 15:19:45.474519";"2013-07-04 15:19:45.474519";4;"Laura";"Chan";"2013-07-04 15:19:45.474519";f;f
5;7;"4557668129";"jacob.gomez.family@gmail.com";"2013-07-04 15:19:47.255815";"2013-07-04 15:19:47.255815";5;"Jacob";"Gomez";"2013-07-04 15:19:47.255815";f;f
6;7;"4557198044";"gloria.gomez.family@gmail.com";"2013-07-04 15:19:47.27144";"2013-07-04 15:19:47.27144";2;"Gloria";"Gomez";"2013-07-04 15:19:47.27144";f;f
7;8;"92995512";"anthony.gonzalves.family@gmail.com";"2013-07-04 15:19:49.287117";"2013-07-04 15:19:49.287117";1;"Anthony";"Gonzalves";"2013-07-04 15:19:49.287117";f;f
8;8;"88234142";"susan.vergese.family@gmail.com";"2013-07-04 15:19:49.302742";"2013-07-04 15:19:49.302742";4;"Susan";"Vergese";"2013-07-04 15:19:49.302742";f;f
9;12;"4081223459";"elizabeth.smith.family@gmail.com";"2013-07-04 15:19:52.849708";"2013-07-04 15:19:52.849708";6;"Elizabeth";"Smith";"2013-07-04 15:19:52.834083";f;f
10;12;"4081214556";"scott.smith.family@gmail.com";"2013-07-04 15:19:52.849708";"2013-07-04 15:19:52.849708";3;"Scott";"Smith";"2013-07-04 15:19:52.849708";f;f
11;14;"2349017784";"antonio.venza.family@gmail.com";"2013-07-04 15:20:03.115596";"2013-07-04 15:20:03.115596";1;"Antonio";"Venza";"2013-07-04 15:20:03.115596";f;f
12;14;"2345619055";"alexa.ortiz.family@gmail.com";"2013-07-04 15:20:03.131221";"2013-07-04 15:20:03.131221";9;"Alexa";"Ortiz";"2013-07-04 15:20:03.131221";f;f
