"id";"speciality";"created_at";"updated_at";"title";"employer";"contact_phone";"contact_phone_ok";"contact_email";"contact_email_ok";"is_active";"first_name";"last_name"
1;"Cardiology";"2013-07-04 15:07:21.297266";"2013-07-04 15:07:21.297266";"Dr.";"Stanford Hospital";"6542322401";f;"mary.yang.doctor@gmail.com";t;"Yes";"Mary";"Yang"
2;"Physical Therapy";"2013-07-04 15:07:21.297266";"2013-07-04 15:07:21.297266";"Dr.";"Stanford Hospital";"7526653727";f;"sunil.shettigar.doctor@gmail.com";t;"Yes";"Sunil";"Shettigar"
3;"Pathology";"2013-07-04 15:07:21.312891";"2013-07-04 15:07:21.312891";"Dr.";"El Camino Hospital";"4153424391";t;"norton.west.doctor@gmail.com";t;"Yes";"Norton";"West"
4;"Endocrinology";"2013-07-04 15:07:21.312891";"2013-07-04 15:07:21.312891";"Dr.";"Stanford Hospital";"4458774427";f;"emily.higgins.doctor@gmail.com";t;"Yes";"Emily";"Higgins"
5;"Radiology";"2013-07-04 15:07:21.328517";"2013-07-04 15:07:21.328517";"Dr.";"Stanford Hospital";"4853255411";t;"peter.north.doctor@gmail.com";t;"Yes";"Peter";"North"
6;"General Practice";"2013-07-04 15:07:21.328517";"2013-07-04 15:07:21.328517";"Dr.";"Stanford Hospital";"4175443483";f;"christina.green.doctor@gmail.com";t;"Yes";"Christina";"Green"
7;"Ophthalmology";"2013-07-04 15:07:21.328517";"2013-07-04 15:07:21.328517";"Dr.";"Stanford Hospital";"6086642352";t;"amanda.taggen.doctor@gmail.com";t;"Yes";"Amanda";"Taggen"
8;"Physical Therapy";"2013-07-04 15:07:21.344142";"2013-07-04 15:07:21.344142";"Dr.";"El Camino Hospital";"2522522677";f;"john.kwok.doctor@gmail.com";f;"Yes";"John";"Kwok"
9;"ENT Specialist";"2013-07-04 15:07:21.344142";"2013-07-04 15:07:21.344142";"Dr.";"Stanford Hospital";"4233675402";t;"brian.fields.doctor@gmail.com";t;"Yes";"Brian";"Fields"
10;"Endocrinology";"2013-07-04 15:07:21.344142";"2013-07-04 15:07:21.344142";"Dr.";"Stanford Hospital";"5334443472";t;"samantha.lu.doctor@gmail.com";t;"Yes";"Samantha";"Lu"
