"id";"patient_id";"mrn_id";"hie_id";"email";"mgate_id";"twonet_id";"created_at";"updated_at";"hcs_user";"hcs_id";"hcs_push_enabled";"hie_enabled";"mgate_enabled";"hcs_enabled";"hcs_pass";"email_enabled";"twonet_enabled";"fitbit_token";"fitbit_secret";"fitbit_id";"twonet_sync_date";"twonetid_stage"
3;;"571249034";"0000061021";"vincent.gonzalves.patient@gmail.com";"32";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.172314";"2013-07-04 15:07:23.172314";"";"vsoni";f;f;f;f;"vsN12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
4;;"3409761";"0000059018";"benedict.arnold.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.187939";"2013-07-04 15:07:23.187939";"";"barnold";f;f;f;f;"baR12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
5;;"S7038913D";"0000061022";"ruth.chan.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.187939";"2013-07-04 15:07:23.203565";"";"rbenson";f;f;f;f;"rbE12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
7;;"3027657";"0000059009";"ruchika.malik.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.21919";"2013-07-04 15:07:23.234815";"";"rmalik";f;f;f;f;"rmA12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
8;;"10022033";"0000056003";"jeff.marsh.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.234815";"2013-07-04 15:07:23.234815";"";"jmarsh";f;f;f;f;"jmA12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
9;;"9812401235";"0000059007";"curtis.stone.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.328568";"2013-07-04 15:07:23.328568";"";"cstone";f;f;f;f;"csT12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
10;;"SK16025834";"0000059008";"sofia.venza.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.344193";"2013-07-04 15:07:23.344193";"";"svenza";f;f;f;f;"svE12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
11;;"4459071";"0000059010";"lina.wang.patient@gmail.com";"  ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.344193";"2013-07-04 15:07:23.359819";"";"lwang";f;f;f;f;"lwA12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
6;4;"S1234567D";"0000060021";"tan.ahpoon.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.203565";"2013-07-04 15:28:38.894425";"";"tahpoon";f;f;f;f;"taH12345";f;f;"f5b28c0d7b714d829788861590b18211";"5759f3bddf202ec4a7fbc6b28d166478";"23NFCY";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
1;7;"91283746";"0000061019";"maria.gomez.patient@gmail.com";" ";"f214cf76-6c86-4d88-a70b-9b05fe440df1";"2013-07-04 15:07:23.125438";"2013-07-04 18:58:04.172331";"";"mgomez";f;f;f;f;"mgM12345";f;f;"";"";"";;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
2;12;"12349876";"0000064012";"jason.smith.patient@gmail.com";" ";"84bf26db-d464-4f13-9ea5-d61de97956c9";"2013-07-04 15:07:23.156688";"2013-07-04 20:06:08.053052";"";"jsmith";f;f;t;f;"jsM12345";f;f;"e92a4c14049fb895edd5eff31ee04c40";"3ce1c34a0e036fc81749fc2e8b60f9a6";"243X5M";1372993566;"f214cf76-6c86-4d88-a70b-9b05fe440df1"
